NHU CẦU & SL ĐÁP ỨNG - ĐƠN HÀNG,,,,,,,
NGÀY NHẬN ĐH,Ngày triển khai,Số ĐH,Mã Khách Hàng,Tên Khách Hàng,Mã SP,SL đơn hàng,NGÀY Yêu cầu hoàn thành
4/19/2023,4/19/2023,110/23XK,0006/LEBANON,FADI SAWAYA SAL (SAWAYA INT'L LLC),KD3-0291,  206 ,6/28/2023
4/19/2023,4/19/2023,110/23XK,0006/LEBANON,FADI SAWAYA SAL (SAWAYA INT'L LLC),KD3-0292,  265 ,6/28/2023
4/20/2023,4/21/2023,111/23XK,0348/KOREA,SHINY GLOBAL,KD3-1115,  500 ,7/24/2023
4/20/2023,4/21/2023,111/23XK,0348/KOREA,SHINY GLOBAL,KD3-1116,  500 ,7/24/2023
4/20/2023,4/21/2023,111/23XK,0348/KOREA,SHINY GLOBAL,KD3-1622,  500 ,7/24/2023
4/20/2023,4/21/2023,111/23XK,0348/KOREA,SHINY GLOBAL,KD3-1624,  500 ,7/24/2023
4/21/2023,4/24/2023,112/23ND,B2B,CHOLIMEX,BQT.CLM,  404 ,5/10/2023
4/26/2023,4/27/2023,113/23XK,0311/KOREA,DANIEL COMPANY,KD2-0880,  1.000 ,7/11/2023
4/26/2023,4/27/2023,113/23XK,0311/KOREA,DANIEL COMPANY,KD2-1156,  1.000 ,7/11/2023
4/27/2023,4/27/2023,114/23XK,0013/ITALY,TECNIWORK S.P.A,KD3-0101,  600 ,8/15/2023
4/27/2023,4/27/2023,114/23XK,0013/ITALY,TECNIWORK S.P.A,KD3-0102,  1.100 ,8/15/2023
4/27/2023,4/27/2023,114/23XK,0013/ITALY,TECNIWORK S.P.A,KD3-0103,  750 ,8/15/2023
4/27/2023,4/27/2023,114/23XK,0013/ITALY,TECNIWORK S.P.A,KD3-0105,  800 ,8/15/2023
4/27/2023,4/27/2023,114/23XK,0013/ITALY,TECNIWORK S.P.A,KM3-0106,  400 ,8/15/2023
4/27/2023,4/27/2023,114/23XK,0013/ITALY,TECNIWORK S.P.A,KM3-0254,  400 ,8/15/2023
5/3/2023,5/4/2023,115/23XK,0470/LEBANON,TEC-NAILS COSMETICS,KD2-1479,  500 ,6/24/2023
5/3/2023,5/4/2023,115/23XK,0470/LEBANON,TEC-NAILS COSMETICS,KSS-1699,  500 ,6/24/2023
5/3/2023,5/4/2023,115/23XK,0470/LEBANON,TEC-NAILS COSMETICS,KSS-1700,  500 ,6/24/2023
