ma_block,ma_cot,ma_tang,ma_pallet,ma_ke,pallet_in,hanh_dong,user_id,last_time
-,-,-,-,-,-,NULL,NULL,NULL
A,1,1,1,A11/1,"p_722 ",NULL,NULL,NULL
A,1,1,2,A11/2,P_1181,NULL,NULL,NULL
A,1,2,1,A12/1,-,NULL,NULL,2024-08-14 15:43:30.897
A,1,2,2,A12/2,-,NULL,NULL,2024-08-14 15:46:38.953
A,1,3,1,A13/1,-,NULL,NULL,NULL
A,1,3,2,A13/2,-,NULL,NULL,NULL
A,1,4,1,A14/1,-,NULL,NULL,NULL
A,1,4,2,A14/2,-,NULL,NULL,NULL
A,1,5,1,A15/1,-,NULL,NULL,2024-08-14 15:21:01.543
A,1,5,2,A15/2,-,NULL,NULL,NULL
A,2,1,1,A21/1,"p_973  ",NULL,NULL,NULL
A,2,1,2,A21/2,"p_791 ",NULL,NULL,NULL
A,2,2,1,A22/1,"p_757 ",NULL,NULL,NULL
A,2,2,2,A22/2,P_1231,NULL,NULL,NULL
A,2,3,1,A23/1,-,NULL,NULL,NULL
A,2,3,2,A23/2,P_1240,NULL,NULL,NULL
A,2,4,1,A24/1,-,NULL,NULL,NULL
A,2,4,2,A24/2,-,NULL,NULL,NULL
A,2,5,1,A25/1,P_134,NULL,NULL,NULL
A,2,5,2,A25/2,P_79,NULL,NULL,NULL
A,3,1,1,A31/1,"p_972 ",NULL,NULL,NULL
A,3,1,2,A31/2,-,NULL,NULL,NULL
A,3,2,1,A32/1,"P_1040 ",NULL,NULL,NULL
A,3,2,2,A32/2,"p_1044 ",NULL,NULL,NULL
A,3,3,1,A33/1,-,NULL,NULL,NULL
A,3,3,2,A33/2,-,NULL,NULL,NULL
A,3,4,1,A34/1,"p_82 ",NULL,NULL,NULL
A,3,4,2,A34/2,-,NULL,NULL,NULL
A,3,5,1,A35/1,-,NULL,NULL,NULL
A,3,5,2,A35/2,-,NULL,NULL,NULL
A,4,1,1,A41/1,-,NULL,NULL,NULL
A,4,1,2,A41/2,-,NULL,NULL,NULL
A,4,2,1,A42/1,"p_66  ",NULL,NULL,NULL
A,4,2,2,A42/2,P_20,NULL,NULL,NULL
A,4,3,1,A43/1,-,NULL,NULL,NULL
A,4,3,2,A43/2,-,NULL,NULL,NULL
A,4,4,1,A44/1,-,NULL,NULL,NULL
A,4,4,2,A44/2,-,NULL,NULL,NULL
A,4,5,1,A45/1,-,NULL,NULL,NULL
A,4,5,2,A45/2,-,NULL,NULL,NULL
A,5,1,1,A51/1,-,NULL,NULL,NULL
A,5,1,2,A51/2,-,NULL,NULL,NULL
A,5,2,1,A52/1,"p_880 ",NULL,NULL,NULL
A,5,2,2,A52/2,-,NULL,NULL,NULL
A,5,3,1,A53/1,-,NULL,NULL,NULL
A,5,3,2,A53/2,"p_54 ",NULL,NULL,NULL
A,5,4,1,A54/1,"P_540 ",NULL,NULL,NULL
A,5,4,2,A54/2,"p_524 ",NULL,NULL,NULL
A,5,5,1,A55/1,-,NULL,NULL,NULL
A,5,5,2,A55/2,"p_240 ",NULL,NULL,NULL
A,6,1,1,A61/1,-,NULL,NULL,NULL
A,6,1,2,A61/2,-,NULL,NULL,NULL
A,6,2,1,A62/1,"p_539  ",NULL,NULL,NULL
A,6,2,2,A62/2,-,NULL,NULL,NULL
A,6,3,1,A63/1,"P_212 ",NULL,NULL,NULL
A,6,3,2,A63/2,P_208,NULL,NULL,NULL
A,6,4,1,A64/1,"P_781 ",NULL,NULL,NULL
A,6,4,2,A64/2,-,NULL,NULL,NULL
A,6,5,1,A65/1,"p_528  ",NULL,NULL,NULL
A,6,5,2,A65/2,p_493,NULL,NULL,NULL
B,1,1,1,B11/1,P_889,NULL,NULL,NULL
B,1,1,2,B11/2,"P_794 ",NULL,NULL,NULL
B,1,2,1,B12/1,"p_978 ",NULL,NULL,NULL
B,1,2,2,B12/2,"p_501 ",NULL,NULL,NULL
B,1,3,1,B13/1,-,NULL,NULL,NULL
B,1,3,2,B13/2,-,NULL,NULL,NULL
B,1,4,1,B14/1,-,NULL,NULL,NULL
B,1,4,2,B14/2,-,NULL,NULL,NULL
