ma_pallet,ma_trangthai,ma_ke,time_cre,co_su_dung
-,0,F54/1,2024-08-15 13:04:41.000,1
p_1,0,NULL,2024-08-08 11:45:28.973,1
p_10,0,NULL,2024-08-08 11:45:28.973,1
p_100,0,NULL,2024-08-08 11:45:28.973,1
p_1000,0,NULL,2024-08-08 11:45:28.973,1
p_1001,0,B45/2,2025-11-25 15:45:29.000,1
p_1002,0,A12/2,2025-11-25 15:45:29.000,1
p_1003,0,B65/1,2025-11-25 15:45:29.000,1
p_1004,0,D34/2,2025-11-25 15:45:29.000,1
p_1005,0,B13/1,2025-11-25 15:45:29.000,1
p_1006,0,T5,2025-11-25 15:45:29.000,1
p_1007,0,E65/2,2025-11-25 15:45:29.000,1
p_1008,0,D45/2,2025-11-25 15:45:29.000,1
p_1009,0,A13/2,2025-11-25 15:45:29.000,1
p_101,0,A12/1,2024-08-08 11:45:28.973,1
p_1010,0,D14/2,2025-11-25 15:45:29.000,1
p_1011,0,C11/2,2025-11-25 15:45:29.000,1
p_1012,0,B33/1,2025-11-25 15:45:29.000,1
p_1013,0,D15/2,2025-11-25 15:45:29.000,1
p_1014,0,D11/1,2025-11-25 15:45:29.000,1
p_1015,0,T6,2025-11-25 15:45:29.000,1
p_1016,0,D25/2,2025-11-25 15:45:29.000,1
p_1017,0,E44/2,2025-11-25 15:45:29.000,1
p_1018,0,A14/2,2025-11-25 15:45:29.000,1
p_1019,0,T3,2025-11-25 15:45:29.000,1
p_102,0,NULL,2024-08-08 11:45:28.973,1
p_1020,0,C34/2,2025-11-25 15:45:29.000,1
p_1021,0,T2,2025-11-25 15:45:29.000,1
p_1022,0,C23/1,2025-11-25 15:45:29.000,1
p_1023,0,E15/1,2025-11-25 15:45:29.000,1
p_1024,0,E14/2,2025-11-25 15:45:29.000,1
p_1025,0,F54/1,2025-11-25 15:45:29.000,1
p_1026,0,E45/2,2025-11-25 15:45:29.000,1
p_1027,0,B34/1,2025-11-25 15:45:29.000,1
p_1028,0,C53/1,2025-11-25 15:45:29.000,1
p_1029,0,D12/1,2025-11-25 15:45:29.000,1
p_103,0,NULL,2024-08-08 11:45:28.973,1
p_1030,0,B35/1,2025-11-25 15:45:29.000,1
p_1031,0,NULL,2025-11-25 15:45:29.000,1
p_1032,0,E35/1,2025-11-25 15:45:29.000,1
p_1033,0,D34/1,2025-11-25 15:45:29.000,1
p_1034,0,E55/2,2025-11-25 15:45:29.000,1
p_1035,0,D15/1,2025-11-25 15:45:29.000,1
p_1036,0,E12/2,2025-11-25 15:45:29.000,1
p_1037,0,T3,2025-11-25 15:45:29.000,1
p_1038,0,G13/2,2025-11-25 15:45:29.000,1
p_1039,0,T5,2025-11-25 15:45:29.000,1
p_104,0,NULL,2024-08-08 11:45:28.973,1
p_1040,0,A32/1,2025-11-25 15:45:29.000,1
p_1041,0,D35/2,2025-11-25 15:45:29.000,1
p_1042,0,L04,2025-11-25 15:45:29.000,1
p_1043,0,C24/1,2025-11-25 15:45:29.000,1
p_1044,0,A32/2,2025-11-25 15:45:29.000,1
p_1045,0,D13/1,2025-11-25 15:45:29.000,1
p_1046,0,A13/2,2025-11-25 15:45:29.000,1
p_1047,0,T4,2025-11-25 15:45:29.000,1
p_1048,0,F24/1,2025-11-25 15:45:29.000,1
p_1049,0,T5,2025-11-25 15:45:29.000,1
p_105,0,NULL,2024-08-08 11:45:28.973,1
p_1050,0,T4,2025-11-25 15:45:29.000,1
p_1051,0,D15/1,2025-11-25 15:45:29.000,1
p_1052,0,E54/2,2025-11-25 15:45:29.000,1
p_1053,0,C25/1,2025-11-25 15:45:29.000,1
p_1054,0,D12/1,2025-11-25 15:45:29.000,1
p_1055,0,E12/2,2025-11-25 15:45:29.000,1
